,smoothed_sentiment_weibull_week
2024-01-01 00:00:00,0.0
2024-01-01 01:00:00,-0.11074139923509363
2024-01-01 02:00:00,2.833173415093941
2024-01-01 03:00:00,10.54327223624971
2024-01-01 04:00:00,21.4419599430853
2024-01-01 05:00:00,33.68389984672188
2024-01-01 06:00:00,50.0457563287772
2024-01-01 07:00:00,68.26714341888294
2024-01-01 08:00:00,85.82543285435335
2024-01-01 09:00:00,102.51711855177163
2024-01-01 10:00:00,119.8850460107285
2024-01-01 11:00:00,139.0862396500761
2024-01-01 12:00:00,158.26576438942777
2024-01-01 13:00:00,177.56191873512162
2024-01-01 14:00:00,199.22727648475148
2024-01-01 15:00:00,221.18718131086123
2024-01-01 16:00:00,241.60802190527767
2024-01-01 17:00:00,260.43337494963515
2024-01-01 18:00:00,277.89238137361
2024-01-01 19:00:00,295.30107269568515
2024-01-01 20:00:00,312.5696014466447
2024-01-01 21:00:00,330.62336775085237
2024-01-01 22:00:00,349.0793788295545
2024-01-01 23:00:00,367.28815402488704
2024-01-02 00:00:00,385.7920796172704
2024-01-02 01:00:00,401.54972532595184
2024-01-02 02:00:00,415.73912409392346
2024-01-02 03:00:00,427.72033273299087
2024-01-02 04:00:00,439.91432503578926
2024-01-02 05:00:00,452.63205770704417
2024-01-02 06:00:00,466.7846517650107
2024-01-02 07:00:00,482.38234711034005
2024-01-02 08:00:00,497.7531099123134
2024-01-02 09:00:00,512.2551534355571
2024-01-02 10:00:00,525.8415329242548
2024-01-02 11:00:00,534.8944628004731
2024-01-02 12:00:00,539.6389465218124
2024-01-02 13:00:00,541.8044691947447
2024-01-02 14:00:00,543.9363732861218
2024-01-02 15:00:00,546.699203229497
2024-01-02 16:00:00,550.6770276614482
2024-01-02 17:00:00,550.3846805928363
2024-01-02 18:00:00,549.8154855227846
2024-01-02 19:00:00,549.72401265689
2024-01-02 20:00:00,543.0047673356022
2024-01-02 21:00:00,537.6586194683107
2024-01-02 22:00:00,531.3491414722251
2024-01-02 23:00:00,523.8878261480316
2024-01-03 00:00:00,517.038270876685
2024-01-03 01:00:00,507.59095144210823
2024-01-03 02:00:00,499.7330321045962
2024-01-03 03:00:00,494.08527913801606
2024-01-03 04:00:00,488.45948652112827
2024-01-03 05:00:00,483.6431281315294
2024-01-03 06:00:00,479.9374067511427
2024-01-03 07:00:00,475.2160910827373
2024-01-03 08:00:00,470.0284868166342
2024-01-03 09:00:00,463.897921792782
2024-01-03 10:00:00,458.3758112866626
2024-01-03 11:00:00,451.0546315532199
2024-01-03 12:00:00,441.47671750892465
2024-01-03 13:00:00,431.9970372144159
2024-01-03 14:00:00,419.25803462737895
2024-01-03 15:00:00,400.5914583899606
2024-01-03 16:00:00,379.63034544258824
2024-01-03 17:00:00,353.4799758841002
2024-01-03 18:00:00,318.8199138451446
2024-01-03 19:00:00,279.4013442634533
2024-01-03 20:00:00,238.15133650468312
2024-01-03 21:00:00,195.42924657895668
2024-01-03 22:00:00,155.83004718017798
2024-01-03 23:00:00,118.69768090741528
2024-01-04 00:00:00,82.12176861791895
2024-01-04 01:00:00,46.6066538950995
2024-01-04 02:00:00,13.690802685045583
2024-01-04 03:00:00,-12.601100277568477
2024-01-04 04:00:00,-34.62037682294633
2024-01-04 05:00:00,-53.59928812782027
2024-01-04 06:00:00,-69.05030125665832
2024-01-04 07:00:00,-79.42263195210205
2024-01-04 08:00:00,-87.83971004728997
2024-01-04 09:00:00,-96.38240483939283
2024-01-04 10:00:00,-104.62154669887582
2024-01-04 11:00:00,-112.65154474191338
2024-01-04 12:00:00,-123.55745955217242
2024-01-04 13:00:00,-135.3575927809934
2024-01-04 14:00:00,-150.86403508334055
2024-01-04 15:00:00,-167.6238151025456
2024-01-04 16:00:00,-183.70794666056224
2024-01-04 17:00:00,-201.07808603986638
2024-01-04 18:00:00,-215.68828932619107
2024-01-04 19:00:00,-230.20196137805613
2024-01-04 20:00:00,-251.47352467447905
2024-01-04 21:00:00,-273.31353090914354
2024-01-04 22:00:00,-293.8962085296465
2024-01-04 23:00:00,-315.32416210415664
