,day,daily_active_addresses,buy_ins,sells
0,2024-01-01 00:00:00.000 UTC,828389,624627,560256
1,2024-01-02 00:00:00.000 UTC,866366,550845,571551
2,2024-01-03 00:00:00.000 UTC,947432,677057,630795
3,2024-01-04 00:00:00.000 UTC,1007477,675008,685162
4,2024-01-05 00:00:00.000 UTC,822796,645933,489128
5,2024-01-06 00:00:00.000 UTC,800458,572160,513263
6,2024-01-07 00:00:00.000 UTC,715195,510039,439730
7,2024-01-08 00:00:00.000 UTC,735093,534010,449300
8,2024-01-09 00:00:00.000 UTC,912062,618467,598273
9,2024-01-10 00:00:00.000 UTC,847030,605994,539996
10,2024-01-11 00:00:00.000 UTC,961960,664878,642997
11,2024-01-12 00:00:00.000 UTC,990442,596692,692705
12,2024-01-13 00:00:00.000 UTC,844529,715185,523896
13,2024-01-14 00:00:00.000 UTC,709965,616603,459184
14,2024-01-15 00:00:00.000 UTC,793614,568801,499419
15,2024-01-16 00:00:00.000 UTC,766394,569683,502212
16,2024-01-17 00:00:00.000 UTC,809691,647469,512919
17,2024-01-18 00:00:00.000 UTC,897848,678146,601731
18,2024-01-19 00:00:00.000 UTC,806626,627718,500943
19,2024-01-20 00:00:00.000 UTC,821757,656528,531928
20,2024-01-21 00:00:00.000 UTC,757080,621584,494509
21,2024-01-22 00:00:00.000 UTC,966189,620800,694042
22,2024-01-23 00:00:00.000 UTC,864989,600772,596445
23,2024-01-24 00:00:00.000 UTC,884303,564399,621842
24,2024-01-25 00:00:00.000 UTC,1097617,573765,842137
25,2024-01-26 00:00:00.000 UTC,899244,683718,597975
26,2024-01-27 00:00:00.000 UTC,971917,718168,704943
27,2024-01-28 00:00:00.000 UTC,894831,731737,594645
28,2024-01-29 00:00:00.000 UTC,957224,697323,677980
29,2024-01-30 00:00:00.000 UTC,904911,687546,601920
30,2024-01-31 00:00:00.000 UTC,865533,622141,579165
31,2024-02-01 00:00:00.000 UTC,943713,680096,636995
32,2024-02-02 00:00:00.000 UTC,927810,691808,611391
33,2024-02-03 00:00:00.000 UTC,815703,668269,555389
34,2024-02-04 00:00:00.000 UTC,803165,539396,554858
35,2024-02-05 00:00:00.000 UTC,849861,525378,581511
36,2024-02-06 00:00:00.000 UTC,856080,521337,581162
37,2024-02-07 00:00:00.000 UTC,905346,640780,639389
38,2024-02-08 00:00:00.000 UTC,814682,547078,536415
39,2024-02-09 00:00:00.000 UTC,958912,615934,672294
40,2024-02-10 00:00:00.000 UTC,958383,637410,680352
41,2024-02-11 00:00:00.000 UTC,849986,558690,566239
42,2024-02-12 00:00:00.000 UTC,1005960,649037,702178
43,2024-02-13 00:00:00.000 UTC,858690,589285,585186
44,2024-02-14 00:00:00.000 UTC,796336,586547,477171
