,searchTerm,weekLabel,interestScore
0,crypto,"Mar 3 – 9, 2024",70
1,crypto,"Mar 10 – 16, 2024",65
2,crypto,"Mar 17 – 23, 2024",53
3,crypto,"Mar 24 – 30, 2024",54
4,crypto,"Mar 31 – Apr 6, 2024",47
5,crypto,"Apr 7 – 13, 2024",44
6,crypto,"Apr 14 – 20, 2024",40
7,crypto,"Apr 21 – 27, 2024",36
8,crypto,"Apr 28 – May 4, 2024",34
9,crypto,"May 5 – 11, 2024",32
10,crypto,"May 12 – 18, 2024",33
11,crypto,"May 19 – 25, 2024",35
12,crypto,"May 26 – Jun 1, 2024",38
13,crypto,"Jun 2 – 8, 2024",40
14,crypto,"Jun 9 – 15, 2024",37
15,crypto,"Jun 16 – 22, 2024",34
16,crypto,"Jun 23 – 29, 2024",31
17,crypto,"Jun 30 – Jul 6, 2024",32
18,crypto,"Jul 7 – 13, 2024",31
19,crypto,"Jul 14 – 20, 2024",34
20,crypto,"Jul 21 – 27, 2024",36
21,crypto,"Jul 28 – Aug 3, 2024",31
22,crypto,"Aug 4 – 10, 2024",35
23,crypto,"Aug 11 – 17, 2024",30
24,crypto,"Aug 18 – 24, 2024",30
25,crypto,"Aug 25 – 31, 2024",31
26,crypto,"Sep 1 – 7, 2024",29
27,crypto,"Sep 8 – 14, 2024",28
28,crypto,"Sep 15 – 21, 2024",30
29,crypto,"Sep 22 – 28, 2024",33
30,crypto,"Sep 29 – Oct 5, 2024",30
31,crypto,"Oct 6 – 12, 2024",28
32,crypto,"Oct 13 – 19, 2024",30
33,crypto,"Oct 20 – 26, 2024",30
34,crypto,"Oct 27 – Nov 2, 2024",31
35,crypto,"Nov 3 – 9, 2024",39
36,crypto,"Nov 10 – 16, 2024",73
37,crypto,"Nov 17 – 23, 2024",69
38,crypto,"Nov 24 – 30, 2024",67
39,crypto,"Dec 1 – 7, 2024",86
40,crypto,"Dec 8 – 14, 2024",75
41,crypto,"Dec 15 – 21, 2024",66
42,crypto,"Dec 22 – 28, 2024",53
43,crypto,"Dec 29, 2024 – Jan 4, 2025",54
44,crypto,"Jan 5 – 11, 2025",52
45,crypto,"Jan 12 – 18, 2025",60
46,crypto,"Jan 19 – 25, 2025",100
47,crypto,"Jan 26 – Feb 1, 2025",60
48,crypto,"Feb 2 – 8, 2025",60
49,crypto,"Feb 9 – 15, 2025",46
50,crypto,"Feb 16 – 22, 2025",47
51,crypto,"Feb 23 – Mar 1, 2025",51
52,crypto,"Mar 2 – 8, 2025",61
53,crypto,"Mar 9 – 15, 2025",43
54,bitcoin,"Mar 3 – 9, 2024",79
55,bitcoin,"Mar 10 – 16, 2024",75
