,text,date,channel_FedRussianInsiders,channel_TechCryptoAnalyst,channel_Whalesguide,channel_binancekillers,channel_cryptoclubpump,channel_wallstreetqueenofficial,sentiment,sentiment_score,year,week,day
0," **MAJOR** **PUMP ANNOUNCEMENT ** Heres the details: ** DATE: SUNDAY 3rd March  TIME: 3pm GMT  Exchange: ****Mexc.com****  PAIR: USDT  Exp Growth: 700%+ Were BACK this SUNDAY for one of the biggest pumps this year on the MEXC exchange.** For those that joined us last Sunday, that was crazy, and you guys made some insane profits that trade. This Sunday we can safely project one of the biggest pumps of the year, due to the insane gains of BTC and the world of crypto in recent weeks. This leads to millions of more users browsing the crypto markets on MEXC, which is a major exchange, therefore seeing our pump happen and pouring in with volume trying to get in. This is where we sell and make our money. **GET READY TO MAKE PROFIT ON SUNDAY.**  **NEW MEMBERS: **Sign up to the Mexc.com exchange, deposit USDT and read our [Guide](https://telegra.ph/Quick-Start-Guide-Crypto-Pump-Club-03-01) to prepare. ** See you all SUNDAY at 3pm GMT Timezone.** Best as always,** Your CPC Team **",2024-02-28,0.0,0.0,0.0,0.0,1.0,0.0,positive,1,2024,9,2
1," **PUMP ANNOUNCEMENT ** Heres the details: ** DATE: SUNDAY 10th March  TIME: 3pm GMT  Exchange: ****Mexc.com****  PAIR: USDT  Exp Growth: 700%+ Were BACK this SUNDAY for one of the biggest pumps weve ever hosted on the MEXC exchange.** Were getting flashback of 2021 bull run. For any of those long term members who were with us back then, youll remember just how huge those pumps were. This Sunday we expect one of our biggest pumps ever, similar to the size of 2021 pumps. Bitcoin is on the rise, the crypto market is crazy, and millions of new invested are pouring into the market trying to make money. It is these very investors who buy our coin when they see it pumping on MEXC. They provide our profit. They are who we sell to. This Sunday will be bigger then ever, with more profits than ever before. LETS GO. **GET READY TO MAKE PROFIT ON SUNDAY.**  **NEW MEMBERS: **Sign up to the Mexc.com exchange, deposit USDT and read our [Guide](https://telegra.ph/Quick-Start-Guide-Crypto-Pump-Club-03-01) to prepare. ** See you all SUNDAY at 3pm GMT Timezone.** Best as always,** Your CPC Team **",2024-03-05,0.0,0.0,0.0,0.0,1.0,0.0,positive,1,2024,10,1
2,Its been a strong week for BTC. Millions of new traders have been flooding the markets as they try to get in. This looks promising for our pump on Sunday: more active traders who will pour volume into our coin after we start buying. Lets go team.,2024-07-16,0.0,0.0,0.0,0.0,1.0,0.0,positive,1,2024,29,1
3,$BTC looking strong. Things are happening. Market is strong Wednesday pump will be WILD ,2024-07-28,0.0,0.0,0.0,0.0,1.0,0.0,positive,1,2024,30,6
4,BTC down 18% in 24 hours **Dont rely on the markets. Play them instead. **Thats what we do and thats why we make money no matter what the market does.,2024-08-05,0.0,0.0,0.0,0.0,1.0,0.0,positive,1,2024,32,0
5,BTC now up to $53k again. Market is CRAZY right now!!!,2024-08-05,0.0,0.0,0.0,0.0,1.0,0.0,positive,1,2024,32,0
6,"BTC is on the rise  This means our next pump is going to be huge. Every time BTC rises 10%+ in 24 hours it creates a wave of new traders, who monitor exchanges and pour into coins with FOMO. These exact new traders provide huge liquidity for us to sell to. **NEXT SUNDAY WILL BE A MEGA PUMP **",2024-09-29,0.0,0.0,0.0,0.0,1.0,0.0,positive,1,2024,39,6
7,BTC approaching $68k  The market is growing. Our pumps will follow. Get ready for another crazy end to the year.,2024-10-16,0.0,0.0,0.0,0.0,1.0,0.0,positive,1,2024,42,2
8,"**BTC APPROACHES ATH AS IT BREAKS $70k  **Its happening guys. When BTC pumps like this, it leads to millions of new traders in the crypto market. Many of these new traders add insane amounts of volume to our pumps as they buy into pumping coins with FOMO. When BTC hit its ATH earlier this year, crazy things happened in this channel. So much money was made. Friday will be special. Life changing gains will be seen over this next few pumps, just like we did earlier this year.",2024-10-29,0.0,0.0,0.0,0.0,1.0,0.0,positive,1,2024,44,1
9,"We are witnessing history. Bitcoin breaks $80k today pushing new boundaries, and driving a huge rise in crypto awareness across the board. **IF YOU MISSED THE BTC WAVE** - do not worry: you are in the perfect place to capitalise on the huge new wave on crypto investors. As our long term members know; when BTC reaches new all time highs, our pumps go a little crazy. New investors flood the markets looking for ways to make quick gains. These traders fall into our coins as we pump them, pouring in with millions $ of volume. This is how we make our profit, using these investors as liquidity to feed our sells  **WE ARE IN A SPECIAL MOMENT. Do not take this next few months for granted. You are in the perfect place to make life changing gains. It will not last forever. ** Next pump announced very soon. Its going to be huge",2024-11-10,0.0,0.0,0.0,0.0,1.0,0.0,positive,1,2024,45,6
10,The bitcoin pump is creating perfect conditions for our pumps over the coming weeks. So much money will be made here.,2024-11-11,0.0,0.0,0.0,0.0,1.0,0.0,positive,1,2024,46,0
11,Do not invest in bitcoin or alt coins guys (unless youre prepared to hold for a number of years).,2024-11-21,0.0,0.0,0.0,0.0,1.0,0.0,negative,-1,2024,47,3
12,"If you want quick and reliable gains, youre already in the right place. Our pumps benefit indirectly from the BTC movement, which sends millions new investors to platforms like MEXC where we host our pumps. Its these investors who we sell to! This is why our pumps get ridiculously huge when BTC. pumps.",2024-11-21,0.0,0.0,0.0,0.0,1.0,0.0,positive,1,2024,47,3
13,"Friday we pump again, our first December pump. As our long term members know, December is always INSANE. This year will be no different, in fact it should be even bigger after the biggest rise in BTC ever. FRIDAY PUMP ANNOUNCING SOON.",2024-12-02,0.0,0.0,0.0,0.0,1.0,0.0,positive,1,2024,49,0
14,"**PUMP ANNOUNCEMENT!! Date: March 4, Tuesday Time: 17:00** **GMT/UTC Pair: SOL/??? Exchange: RAYDIUM (Solana) Target: 2,000%+** $BTC and $SOL exploding, the bull market just starting to heat up, and Trump taking office tomorrow... perfect conditions for the biggest market manipulation weve ever had We're now aiming at an even higher target and millions of $ in outsider volume **YOU ARE THE INSIDERS NOW** And you dont want to miss this move. Familiarize yourself with [**SOL TROJAN BOT**](https://t.me/solana_trojanbot?start=r-launchtrojan) and RAYDIUM, turn on notifications, set your alarms, mark your calendars... do whatever you must, but be ready. We dictate the market.",2025-03-03,0.0,0.0,0.0,0.0,1.0,0.0,positive,1,2025,10,0
15,"**January 1, 2024  MARKET ANALYSIS:** Market Cap: $1.65 Trillion 24h Volume: $46.67 Billion BTC Dominance: 50.3% ETH Dominance: 16.6% BK Health Standard: 5.7 (1 to 10) BK Sentiment: 24% (-100% to 100%)  **BINANCE ANALYSIS (USDT pairs): Top Gainers** 1. 1INCH: +25% 2. ALCX: +24% 3. OXT: +18% **Top Losers** 1. TRB: -49% 2. NFT: -24% 3. JTO: -17% **BINANCE FUTURES: Top Gainers** 1. 1INCHUSDT: +24% 2. OXTUSDT: +22% **Top Losers** 1. TRBUSDT: -46% 2. NFPUSDT: -23% **LARGEST VOLUME (24h)** 1. BTC/USDT ($16700m) 2. ETH/USDT ($7000m) **DAILY OUTLOOK** 1INCH, ALCX, and OXT have emerged as the top gainers in the current market scenario. BTC appears to be in an accumulation phase, suggesting a period of consolidation and potential price stabilization. To gain clearer insights into the market's direction, it is advisable to await the reopening of financial markets, as this can provide additional information and influence the overall trajectory.  - Binance Killers",2024-01-01,0.0,0.0,0.0,1.0,0.0,0.0,neutral,0,2024,1,0
16,"**January 2, 2024  MARKET ANALYSIS: **Market Cap.: $1.76 Trillion 24h Volume: $67.85 Billion BTC Dominance: 50.9% ETH Dominance: 16.5% BK Health Standard: 6.5 (1 to 10) BK Sentiment: 53% (-100% to 100%)  **BINANCE ANALYSIS (USDT pairs):** Top Gainers 1. LSK: +38% 2. RAY: +30% 3. SKL: +29% Top Losers 1. KP3R: -16% 2. ALCX: -9% 3. ONT: -7% **BINANCE FUTURES:** Top Gainers 1. SKLUSDT: +30% 2. AGLDUSDT: +22% Top Losers 1. BSVUSDT: -9% 2. ONTUSDT: -7% **LARGEST VOLUME (24h)** 1. BTC/USDT ($3132B) 2. ETH/USDT ($10.38B) **DAILY OUTLOOK** LSK, RAY, and SKL have emerged as the top gainers in the current market scenario. Notably, BTC has demonstrated significant strength following a breakout, paving the way for a bullish rally in various altcoins. This positive momentum is indicative of a robust market sentiment, with potential opportunities for investors in both established and emerging cryptocurrencies.  - Binance Killers",2024-01-02,0.0,0.0,0.0,1.0,0.0,0.0,positive,1,2024,1,1
17,"**January 3, 2024  MARKET ANALYSIS:** Market Cap: $1.74 Trillion 24h Volume: $71.47 Billion BTC Dominance: 51% ETH Dominance: 16.4% BK Health Standard: 6.7 (1 to 10) BK Sentiment: 54% (-100% to 100%)  **BINANCE ANALYSIS (USDT pairs): Top Gainers** 1. PERP: +28% 2. MAV: +24% 3. DOCK: +19% **Top Losers** 1. AGLD: -13% 2. STX: -11% 3. OXT: -10% **BINANCE FUTURES: Top Gainers** 1. PERPUSDT: +28% 2. MAVUSDT: +24% **Top Losers** 1. AGLDUSDT: -13% 2. STXUSDT: -11% **LARGEST VOLUME (24h)** 1. BTC/USDT ($31200m) 2. ETH/USDT ($11500m) **DAILY OUTLOOK** PERP, MAV, and DOCK emerge as the standout performers in the current market surge. BTC exhibits robust strength and momentum, signaling the potential onset of a mega-bull market. This promising trend suggests that significant gains may unfold across various alternative cryptocurrencies (Alts) in the near future.  - Binance Killers",2024-01-03,0.0,0.0,0.0,1.0,0.0,0.0,positive,1,2024,1,2
18,"VIP MARKET UPDATE: $BTC  BTC has successfully executed a significant liquidity grab, effectively eliminating a substantial portion of downward liquidity. This development signals a positive and healthy trend for the market in the medium to long term. However, in the short term, it is imperative to closely monitor price movements for additional clarity on the unfolding price action.  - Binance Killers",2024-01-03,0.0,0.0,0.0,1.0,0.0,0.0,positive,1,2024,1,2
19,"**January 4, 2024  MARKET ANALYSIS:** Market Cap.: $1.65 Trillion 24h Volume: $118.55 Billion BTC Dominance: 51.2% ETH Dominance: 16.3% BK Health Standard: 4.6 (1 to 10) BK Sentiment: 47% (-100% to 100%)  **BINANCE ANALYSIS (USDT pairs):** **Top Gainers** 1. PEOPLE: +114% 2. POWR: +71% 3. ENS: +39% **Top Losers** 1. TRB: -21% 2. NFP: -20% 3. LSK: -19% **BINANCE FUTURES: Top Gainers** 1. PEOPLEUSDT: +110% 2. POWRUSDT: +71% **Top Losers** 1. 1000RATSUSDT: -25% 2. BIGTIMEUSDT: -24% **LARGEST VOLUME (24h)** 1. BTC/USDT ($47B) 2. ETH/USDT ($19.5B) **DAILY OUTLOOK** PEOPLE, POWR, and ENS have emerged as the standout performers in the current market, showcasing substantial gains. Meanwhile, BTC experienced a temporary dip in liquidity, marking a healthy correction that bodes well for the overall market sentiment. This correction is indicative of a positive trend, signaling the potential onset of a bullish wave in the near future.  - Binance Killers",2024-01-04,0.0,0.0,0.0,1.0,0.0,0.0,positive,1,2024,1,3
20,"**January 5, 2024  MARKET ANALYSIS:** Market Cap.: $1.66 Trillion 24h Volume: $79.78 Billion BTC Dominance: 51.5% ETH Dominance: 16.3% BK Health Standard: 5.1 (1 to 10) BK Sentiment: 42% (-100% to 100%)  **BINANCE ANALYSIS (USDT pairs): Top Gainers** 1. AI: +3562% 2. OM: +27% 3. NTRN: +24% **Top Losers** 1. MDX: -19% 2. MOB: -18% 3. FIRO: -14% **BINANCE FUTURES: Top Gainers** 1. NTRNUSDT: +25% 2. TIAUSDT: +18% **Top Losers** 1. REEFUSDT: -13% 2. CHRUSDT: -12% **LARGEST VOLUME (24h)** 1. BTC/USDT ($34.8B) 2. ETH/USDT ($11.6B) **DAILY OUTLOOK** AI, OM, and NTRN have emerged as the market's top gainers, seizing the downward liquidity and surpassing downward stops. Following this, BTC is currently in a consolidation phase, exhibiting signs of momentum that suggest a potential for another bullish rally in the market.  - Binance Killers",2024-01-05,0.0,0.0,0.0,1.0,0.0,0.0,positive,1,2024,1,4
21,"VIP MARKET UPDATE: $BTC  The price action is currently forming an ascending triangle pattern, suggesting a bullish trend. The anticipation is for a breakout followed by a retest of the triangle, which would serve as a confirmation of the bullish momentum. Until this breakout retest occurs, we can expect the price to continue its movements within the confines of the triangle pattern  - Binance Killers",2024-01-05,0.0,0.0,0.0,1.0,0.0,0.0,positive,1,2024,1,4
