,text,channel_FedRussianInsiders,channel_TechCryptoAnalyst,channel_Whalesguide,channel_binancekillers,channel_cryptoclubpump,channel_wallstreetqueenofficial,year,week,day,sentiment,smoothed_sentiment,smoothed_sentiment_weibull,smoothed_sentiment_weibull_week
2024-01-01 06:00:00+00:00,"**January 1, 2024  MARKET ANALYSIS:** Market Cap: $1.65 Trillion 24h Volume: $46.67 Billion BTC Dominance: 50.3% ETH Dominance: 16.6% BK Health Standard: 5.7 (1 to 10) BK Sentiment: 24% (-100% to 100%)  **BINANCE ANALYSIS (USDT pairs): Top Gainers** 1. 1INCH: +25% 2. ALCX: +24% 3. OXT: +18% **Top Losers** 1. TRB: -49% 2. NFT: -24% 3. JTO: -17% **BINANCE FUTURES: Top Gainers** 1. 1INCHUSDT: +24% 2. OXTUSDT: +22% **Top Losers** 1. TRBUSDT: -46% 2. NFPUSDT: -23% **LARGEST VOLUME (24h)** 1. BTC/USDT ($16700m) 2. ETH/USDT ($7000m) **DAILY OUTLOOK** 1INCH, ALCX, and OXT have emerged as the top gainers in the current market scenario. BTC appears to be in an accumulation phase, suggesting a period of consolidation and potential price stabilization. To gain clearer insights into the market's direction, it is advisable to await the reopening of financial markets, as this can provide additional information and influence the overall trajectory.  - Binance Killers",0.0,0.0,0.0,1.0,0.0,0.0,2024,1,0,positive,1.0,0.0,0.0
2024-01-01 11:00:00+00:00,"$BTC VIP Analysis January 01, 2024 ------------------- BIAS: Mid-Term: BEARSISH Short-Term: BULLISH -------------------- As expected the price action of $BTC successfully bounced back and filled out the FVG gap level marked between the $42,796 - $42,386 level. As the price action is on the neckline of the pattern level we can expect it will squeeze out the Buy Side Liquidity level marked at the $43,144 level -------------------- MAIN INTEREST LEVELS SHORT $43,144 LONG $42,834 PREDICTED DAILY RANGE $43,846 - $41,321 -------------------- VIP ACTION PLAN [VIP EXCLUSIVE CONTENT] -------------------- Yours truly, Federal Russian Insiders",1.0,0.0,0.0,0.0,0.0,0.0,2024,1,0,positive,1.7916666666666665,0.9702588271560516,0.33610982685004337
2024-01-01 15:00:00+00:00,"**$BTC**** DOMINANCE UPDATE VIP -------------------- **The price action of $BTC DOMINANCE successfully bounced back and formed out a lower high level marked between the 51.67% - 51.47% level. Currently, the price action is retesting out which can show us a further upward increase in the volume of $BTC DOMINANCE** -------------------- We told you first, Fed. Russian Insiders**",1.0,0.0,0.0,0.0,0.0,0.0,2024,1,0,positive,2.4583333333333335,1.365299797289219,0.8472882272249154
2024-01-01 20:00:00+00:00,**$SEI**** update !!! +67.44% profit in btc pairing and 65% profit in usdt pairing. 130% profit in 2x leverage long. 3rd target has been achieved in btc and 2nd target chased in usdt pairing. Another big one for Whales  Crypto  family **,0.0,0.0,1.0,0.0,0.0,0.0,2024,1,0,positive,3.833333333333333,1.3623933027719999,1.723686667545455
2024-01-01 20:00:00+00:00,$GMT **update !!! +19.02% profit in btc pairing and 19.08% profit in usdt pairing. 1st target has been achieved in both pairing. Another good one for Whales  Crypto  family **,0.0,0.0,1.0,0.0,0.0,0.0,2024,1,0,positive,3.833333333333333,1.3623933027719999,1.723686667545455
2024-01-01 21:00:00+00:00,"**$CME**** UPDATE VIP -------------------- **On the H4 timeframe level, the price action of $BTC Chicago Mercantile Exchange has left out the gap between the $40,425 - $39,500 level. Currently, the price action is losing out on its Horizontal Support level which is marked between the $43,070 - $42,590 level and above the support trend line level. As the EMA has turned into the resistance level and if the price action loses out the support trend line level we can expect to see going it further downward level and filling out the CME gap level ** -------------------- We told you first, Fed. Russian Insiders**",1.0,0.0,0.0,0.0,0.0,0.0,2024,1,0,negative,2.625,1.86656170295083,2.014248343757919
2024-01-02 03:00:00+00:00,"**$BTC**** UPDATE VIP **-------------------- ****** Bitcoin ETF launch may be a let down  but could attract trillions over time ** Investors may be disappointed by the initial performance of spot #Bitcoin ETFs, but dont underestimate its impact over the long term, says #VanEck adviser** Gabor Gurbacs.** -------------------- We told you first, Fed. Russian Insiders",1.0,0.0,0.0,0.0,0.0,0.0,2024,1,1,neutral,2.625,0.6275728221511274,3.1136182456426766
2024-01-02 03:00:00+00:00,"$BTC UPDATE VIP -------------------- BTC breakout $45K.  Great sign for the mrket  -------------------- We told you first, Fed. Russian Insiders",1.0,0.0,0.0,0.0,0.0,0.0,2024,1,1,positive,2.625,0.6275728221511274,3.1136182456426766
2024-01-02 10:00:00+00:00,"**January 2, 2024  MARKET ANALYSIS: **Market Cap.: $1.76 Trillion 24h Volume: $67.85 Billion BTC Dominance: 50.9% ETH Dominance: 16.5% BK Health Standard: 6.5 (1 to 10) BK Sentiment: 53% (-100% to 100%)  **BINANCE ANALYSIS (USDT pairs):** Top Gainers 1. LSK: +38% 2. RAY: +30% 3. SKL: +29% Top Losers 1. KP3R: -16% 2. ALCX: -9% 3. ONT: -7% **BINANCE FUTURES:** Top Gainers 1. SKLUSDT: +30% 2. AGLDUSDT: +22% Top Losers 1. BSVUSDT: -9% 2. ONTUSDT: -7% **LARGEST VOLUME (24h)** 1. BTC/USDT ($3132B) 2. ETH/USDT ($10.38B) **DAILY OUTLOOK** LSK, RAY, and SKL have emerged as the top gainers in the current market scenario. Notably, BTC has demonstrated significant strength following a breakout, paving the way for a bullish rally in various altcoins. This positive momentum is indicative of a robust market sentiment, with potential opportunities for investors in both established and emerging cryptocurrencies.  - Binance Killers",0.0,0.0,0.0,1.0,0.0,0.0,2024,1,1,positive,2.333333333333333,0.6985404139600253,4.238506389165764
2024-01-02 11:00:00+00:00,"$BTC VIP Analysis January 02, 2024 ------------------- BIAS: Mid-Term: BEARSISH Short-Term: BULLISH -------------------- As expected the price action of $BTC successfully squeezed out the Buy Side Liquidity level which we marked and the price action bounced back impulsively. Where as on the weekly timeframe level the price action has filled out the Imbalance level marked between the $44,335 - $42,508 level -------------------- MAIN INTEREST LEVELS SHORT $49,175 LONG $44,335 PREDICTED DAILY RANGE $49,358 - $42,417 -------------------- VIP ACTION PLAN [VIP EXCLUSIVE CONTENT] -------------------- Yours truly, Federal Russian Insiders",1.0,0.0,0.0,0.0,0.0,0.0,2024,1,1,positive,3.125,0.9025183278766005,4.4033941020872005
