trial,sharpe,return,drawdown,atr_multiplier,use_leverage,plot_path,EMA_Signal,MACD_Signal,BB_RSI_Signal,GoldenCross_Signal,Stochastic_Signal,OBV_Signal,VWAP_Signal
0,-34.726444865295534,-19.959751314003547,-20.874212245589995,0.7655482649649764,False,../data/optuna_backtest_results\trial_0_EMA_19_MACD2_BB_R13_Gold8_Stoc18_OBV_19_VWAP17.html,0.19964339451352897,0.02424924996857144,0.1343681539792775,0.08369887160402169,0.18455495755506085,0.19357129250703664,0.17991407987250288
1,-1.8330587569383585,-0.19938938532326755,-0.8520237375688078,2.0910704737578376,False,../data/optuna_backtest_results\trial_1_EMA_21_MACD6_BB_R14_Gold24_Stoc20_OBV_2_VWAP9.html,0.21361229378655672,0.06911906899741603,0.14413591496192127,0.24963715863578576,0.2024875227564767,0.023662603807712245,0.09734543705413126
2,-3.8775457191058478,-13.080176914343056,-31.32987433474207,3.237231553072322,False,../data/optuna_backtest_results\trial_2_EMA_41_MACD7_BB_R16_Gold8_Stoc3_OBV_21_VWAP0.html,0.4181349616048817,0.07486660276001599,0.16750583779460024,0.08077183205246907,0.03166526260269543,0.2175158889698202,0.009539614215517297
3,0.29985112937802016,0.09049465657657851,-2.695650142821193,3.0744903669943153,True,../data/optuna_backtest_results\trial_3_EMA_15_MACD22_BB_R15_Gold12_Stoc18_OBV_9_VWAP6.html,0.15253203771883983,0.2200295576765156,0.1582036403615991,0.1218560143099307,0.18155591781607391,0.09680660865320995,0.0690162234638308
4,-35.39340472306666,-19.69208091204423,-20.25436130020698,0.7377884968835198,True,../data/optuna_backtest_results\trial_4_EMA_16_MACD13_BB_R9_Gold24_Stoc2_OBV_24_VWAP9.html,0.16025633659106994,0.13478715151700274,0.09584764707260711,0.24099364664957684,0.026826646091465893,0.24391146437188413,0.09737710770639339
5,-10.960688345062962,-15.620023782032789,-18.461615124279607,1.8446482727217857,False,../data/optuna_backtest_results\trial_5_EMA_9_MACD13_BB_R3_Gold16_Stoc15_OBV_19_VWAP22.html,0.09161225681699359,0.13523463058836602,0.033515789624672894,0.16269079603858327,0.1508909738749712,0.19619159184586993,0.22986396121054317
6,-1.3776479947185218,-5.302626558151702,-32.485813205079396,4.508470490540451,False,../data/optuna_backtest_results\trial_6_EMA_19_MACD3_BB_R6_Gold15_Stoc20_OBV_14_VWAP19.html,0.19741740597198806,0.030065613569265966,0.06993669820820583,0.15085014273500397,0.2031077769386261,0.14984262915304378,0.19877973342386618
7,-3.683558016905523,-1.0246410528198413,-3.6921469907083115,2.8436521528085406,True,../data/optuna_backtest_results\trial_7_EMA_12_MACD17_BB_R18_Gold18_Stoc4_OBV_15_VWAP14.html,0.12372620485401375,0.17217719506492632,0.1829040085650096,0.1842847342974024,0.04445340611712513,0.15108054111122388,0.14137390999029897
8,3.3440364401794636,2.7329867062432456,-5.398150858304107,3.9016681880709334,True,../data/optuna_backtest_results\trial_8_EMA_11_MACD26_BB_R13_Gold9_Stoc4_OBV_21_VWAP13.html,0.11718402298710265,0.26214609402879435,0.13246117006537164,0.09530955083878863,0.04491280064218911,0.21009861523230947,0.13788774620544417
9,-6.5600664788904215,-0.4628550132608322,-0.7075604987702655,0.5661017025582058,True,../data/optuna_backtest_results\trial_9_EMA_1_MACD11_BB_R19_Gold35_Stoc12_OBV_1_VWAP18.html,0.01257590469978573,0.11322368566753176,0.19456803008315804,0.35836455064405087,0.12295741653901945,0.017632650790852876,0.18067776157560125
10,0.058084936167556306,0.25059155959927804,-33.27388569354376,4.752028908785292,True,../data/optuna_backtest_results\trial_10_EMA_11_MACD28_BB_R2_Gold2_Stoc14_OBV_18_VWAP21.html,0.11975432457779578,0.2845502443373848,0.021344641203737903,0.0252665273275232,0.1446147959592566,0.1859952917087484,0.21847417488555332
