UNIT,TIMESTAMP,TYPE,MARKET,INSTRUMENT,MAPPED_INSTRUMENT,BASE,QUOTE,BASE_ID,QUOTE_ID,TRANSFORM_FUNCTION,OPEN,HIGH,LOW,CLOSE,FIRST_TRADE_TIMESTAMP,LAST_TRADE_TIMESTAMP,FIRST_TRADE_PRICE,HIGH_TRADE_PRICE,HIGH_TRADE_TIMESTAMP,LOW_TRADE_PRICE,LOW_TRADE_TIMESTAMP,LAST_TRADE_PRICE,TOTAL_TRADES,TOTAL_TRADES_BUY,TOTAL_TRADES_SELL,TOTAL_TRADES_UNKNOWN,VOLUME,QUOTE_VOLUME,VOLUME_BUY,QUOTE_VOLUME_BUY,VOLUME_SELL,QUOTE_VOLUME_SELL,VOLUME_UNKNOWN,QUOTE_VOLUME_UNKNOWN,datetime
HOUR,1694505600,954,binance,BTCUSDT,BTC-USDT,BTC,USDT,1,7,,25822.71,25871.06,25735.29,25766.93,1694505600,1694509199,25822.72,25871.06,1694506558,25735.29,1694508982,25766.93,28391,12051,16340,0,1893.94969,48877650.1567237,846.27631,21845187.2756759,1047.67338,27032462.8810478,0,0,2023-09-12 08:00:00+00:00
HOUR,1694509200,954,binance,BTCUSDT,BTC-USDT,BTC,USDT,1,7,,25766.93,25875.85,25736.12,25869.97,1694509200,1694512799,25766.94,25875.85,1694512725,25736.12,1694510007,25869.97,29851,14231,15620,0,1455.35759,37557828.981473,719.08619,18558339.1473143,736.2714,18999489.8341587,0,0,2023-09-12 09:00:00+00:00
HOUR,1694512800,954,binance,BTCUSDT,BTC-USDT,BTC,USDT,1,7,,25869.97,26331.38,25841.38,26159.98,1694512800,1694516399,25871.91,26331.38,1694514166,25841.38,1694513373,26159.98,104997,53695,51302,0,6661.53232,174111888.035359,3444.38486,90020643.8057421,3217.14746,84091244.2296066,0,0,2023-09-12 10:00:00+00:00
HOUR,1694516400,954,binance,BTCUSDT,BTC-USDT,BTC,USDT,1,7,,26159.98,26175.97,26031.63,26098.99,1694516400,1694519999,26165.75,26175.97,1694516464,26031.63,1694518830,26098.99,36029,15580,20449,0,2116.39977,55240470.6692157,923.61832,24109636.9891838,1192.78145,31130833.6800319,0,0,2023-09-12 11:00:00+00:00
HOUR,1694520000,954,binance,BTCUSDT,BTC-USDT,BTC,USDT,1,7,,26098.99,26230.0,26095.4,26121.84,1694520000,1694523599,26098.99,26230.0,1694522707,26095.4,1694520122,26121.84,38364,17018,21346,0,1686.56984,44109988.4218738,753.80994,19717774.1451342,932.7599,24392214.2767396,0,0,2023-09-12 12:00:00+00:00
HOUR,1694523600,954,binance,BTCUSDT,BTC-USDT,BTC,USDT,1,7,,26121.84,26328.99,26033.73,26275.36,1694523600,1694527199,26121.84,26328.99,1694527125,26033.73,1694524811,26275.36,48317,24365,23952,0,2860.95704,74795323.4996924,1503.84193,39324144.789843,1357.11511,35471178.7098494,0,0,2023-09-12 13:00:00+00:00
HOUR,1694527200,954,binance,BTCUSDT,BTC-USDT,BTC,USDT,1,7,,26275.36,26392.0,26047.05,26114.39,1694527200,1694530799,26275.35,26392.0,1694527304,26047.05,1694530286,26114.39,62785,28529,34256,0,3621.38855,94812979.7747645,1715.68564,44922508.764341,1905.70291,49890471.0104235,0,0,2023-09-12 14:00:00+00:00
HOUR,1694530800,954,binance,BTCUSDT,BTC-USDT,BTC,USDT,1,7,,26114.39,26230.0,26111.11,26205.97,1694530800,1694534399,26114.39,26230.0,1694533154,26111.11,1694532133,26205.97,36202,17506,18696,0,1610.92154,42166527.5706742,808.57555,21161525.8221214,802.34599,21005001.7485528,0,0,2023-09-12 15:00:00+00:00
HOUR,1694534400,954,binance,BTCUSDT,BTC-USDT,BTC,USDT,1,7,,26205.97,26567.0,26070.0,26109.32,1694534400,1694537999,26205.98,26567.0,1694536228,26070.0,1694537905,26109.32,89636,43639,45997,0,4927.09744,129576395.514924,2323.01368,61114785.0568275,2604.08376,68461610.4581348,0,0,2023-09-12 16:00:00+00:00
HOUR,1694538000,954,binance,BTCUSDT,BTC-USDT,BTC,USDT,1,7,,26109.32,26166.94,25892.42,25903.04,1694538000,1694541599,26102.12,26166.94,1694538683,25892.42,1694539105,25903.04,56355,24601,31754,0,2546.86928,66227580.8204527,1178.38748,30641916.160167,1368.4818,35585664.6602857,0,0,2023-09-12 17:00:00+00:00
